"image_id","status","n_brain_px","mean_brain","sd_brain","error_msg"
"image_00186","OK",5114,0.311245945386367,0.101919386792824,NA
"image_00187","OK",5732,0.334635619774777,0.115152512087656,NA
"image_00188","OK",6887,0.324562190202057,0.114474561795005,NA
"image_00189","OK",7349,0.320079162431063,0.124672905208962,NA
"image_00190","OK",8023,0.33734386188727,0.128810668891483,NA
"image_00191","OK",7905,0.320218650395009,0.121181816710895,NA
"image_00192","OK",5073,0.345706991647438,0.129067088199054,NA
"image_00193","OK",5073,0.345706991647438,0.129067088199054,NA
"image_00194","OK",5863,0.276503864380478,0.0932691271318996,NA
"image_00195","OK",6521,0.29872177670332,0.0931977691533985,NA
"image_00196","OK",6663,0.327944781394473,0.10323137956646,NA
"image_00197","OK",6883,0.329317329139995,0.102054566629401,NA
"image_00198","OK",6746,0.31542322828924,0.0988851167914059,NA
"image_00199","OK",6791,0.301743945995421,0.0926172599792986,NA
"image_00200","OK",6715,0.225564948242886,0.0690857245048674,NA
"image_00201","OK",8497,0.305947658573845,0.118570734967829,NA
"image_00202","OK",6879,0.310765643661157,0.0955069827658071,NA
"image_00203","OK",7155,0.196689549334758,0.0694776016207061,NA
"image_00204","OK",7166,0.206008630077764,0.0711756740208067,NA
"image_00205","OK",7061,0.218883205456095,0.082968823445289,NA
"image_00206","OK",7093,0.204797052050765,0.0765857962656643,NA
"image_00207","OK",6921,0.247447382362857,0.0979804013392271,NA
"image_00208","OK",7388,0.27400872639256,0.0926985107937238,NA
"image_00209","OK",6072,0.286337641117053,0.102507463956737,NA
"image_00210","OK",7339,0.253140621284622,0.0829262537073144,NA
"image_00211","OK",7197,0.292171574757456,0.094647268213258,NA
"image_00212","OK",8783,0.287209247811615,0.111280060241501,NA
"image_00213","OK",7293,0.282081259762921,0.0975926168077922,NA
"image_00214","OK",7365,0.281597114066265,0.0960579175707881,NA
"image_00215","OK",7091,0.248455097735047,0.0886869408008558,NA
"image_00216","OK",6800,0.27804714532872,0.0953500133036701,NA
"image_00217","OK",7197,0.292171574757456,0.094647268213258,NA
"image_00218","OK",6501,0.246597808481953,0.089953674110718,NA
"image_00219","OK",8010,0.171457614256689,0.0691428036883795,NA
"image_00220","OK",6555,0.304328532328263,0.111479953296942,NA
"image_00221","OK",7181,0.316573146456745,0.115665305830968,NA
"image_00222","OK",7566,0.268552813671067,0.10099075749461,NA
"image_00223","OK",6248,0.296626999071075,0.103266916560245,NA
"image_00224","OK",8366,0.315867563855568,0.122848063783175,NA
"image_00225","OK",8050,0.321120691754963,0.100950944975165,NA
"image_00226","OK",7765,0.300759567188112,0.108808505767715,NA
"image_00227","OK",7941,0.255779634609164,0.0915952807246222,NA
"image_00228","OK",7333,0.314458277515288,0.117283001565613,NA
"image_00229","OK",7594,0.24522133056541,0.0872329041013246,NA
"image_00230","OK",7460,0.302594490879462,0.105283292658769,NA
"image_00231","OK",7095,0.27499371277757,0.103693484532521,NA
"image_00232","OK",6807,0.226614615289336,0.0890164168739759,NA
"image_00233","OK",6690,0.286961663589203,0.10933199449342,NA
"image_00234","OK",6323,0.249834559792603,0.0976387732770907,NA
"image_00235","OK",7794,0.325083397485245,0.129054882697882,NA
"image_00236","OK",6018,0.330667800520009,0.118274433170512,NA
"image_00237","OK",5459,0.226549967853051,0.0830981602564486,NA
"image_00238","OK",6652,0.274190866966149,0.106418075446044,NA
"image_00239","OK",6342,0.298465258067907,0.121117310319534,NA
"image_00240","OK",6159,0.268396480202732,0.10472764963746,NA
"image_00241","OK",6492,0.25531710219516,0.0937013518564579,NA
"image_00242","OK",6419,0.288193598049907,0.10319849523534,NA
"image_00243","OK",6582,0.330846902723411,0.117032146148573,NA
"image_00244","OK",6787,0.326639740911836,0.115443517970352,NA
"image_00245","OK",7128,0.304101884861689,0.103562900947519,NA
"image_00246","OK",5227,0.314013962194788,0.147326304907197,NA
"image_00247","OK",7046,0.245036677742343,0.0865210515506343,NA
